MP_Name,Is_Former_Member,Constituency,State,Lok_Sabha,Entitlement,Released,AmountAvailable,WorksRecommCost,WSCost,ActualExpenditureIncurred,UnspentBalance,Flag_Overspend,Sanction_Ratio,Flag_Sanction_Over_Entitlement,Recomm_Ratio,Flag_Recomm_Over_Entitlement,Unspent_Share,Flag_Idle_Funds,Execution_Gap_Share,Flag_Execution_Gap,Anomaly_Score,Risk_Score,Risk_Level,Risk_Reasons
Arvind Kumar Sharma,False,ROHTAK,,17th Lok Sabha,17.0,5.0,5.2056,12.7735,4.9952,2.5234,2.6822,0,0.29383529411764703,0,0.7513823529411765,0,0.5152528046718918,1,0.4948350416399743,1,0.625,52.5,Medium,High idle/unspent balance (>50%); Execution delay gap (>40% sanctioned not spent)
Ramesh Chander Kaushik,False,SONEPAT,,17th Lok Sabha,17.0,9.5,10.106,10.6523,9.0478,7.1414,2.9646,0,0.5322235294117648,0,0.6266058823529412,0,0.29335048486047893,0,0.21070315435796552,0,0.483,9.7,Low,Compliant within operational parameters
Dharambir Singh,False,BHIWANI MAHENDRAGARH,,17th Lok Sabha,17.0,12.0,13.5875,14.6672,13.347,11.9869,1.6006,0,0.7851176470588235,0,0.8627764705882353,0,0.11779944802207912,0,0.1019030493743912,0,0.506,10.1,Low,Compliant within operational parameters
Brijendra Singh,False,HISAR,,17th Lok Sabha,17.0,7.0,7.2327,8.9236,7.7177,4.9733,2.2594,0,0.45398235294117645,0,0.5249176470588236,0,0.3123867988441384,0,0.3555981704393796,0,0.51,10.2,Low,Compliant within operational parameters
Nayab Singh,False,KURUKSHETRA,,17th Lok Sabha,17.0,9.5,10.2373,13.8852,9.8983,7.3015,2.9358,0,0.5822529411764706,0,0.8167764705882352,0,0.28677483320797476,0,0.2623480799733288,0,0.493,9.9,Low,Compliant within operational parameters
Rao Inderjit Singh,False,GURGAON,,17th Lok Sabha,17.0,7.0,7.5116,7.5446,6.4711,5.6823,1.8293,0,0.3806529411764706,0,0.4438,0,0.24353000692262633,0,0.12189581369473508,0,0.496,9.9,Low,Compliant within operational parameters
Rattan Lal Kataria,False,AMBALA (SC),,17th Lok Sabha,17.0,7.0,7.2146,12.24,5.1036,2.7097,4.5049,0,0.30021176470588234,0,0.72,0,0.6244143819477171,1,0.4690610549416098,1,0.647,52.9,Medium,High idle/unspent balance (>50%); Execution delay gap (>40% sanctioned not spent)
Sanjay Bhatia,False,KARNAL,,17th Lok Sabha,22.0,10.0,11.51,23.249,11.1529,9.3529,2.1571,0,0.50695,0,1.0567727272727272,0,0.1874109470026064,0,0.16139300092352668,0,0.515,10.3,Low,Compliant within operational parameters
Kishan Kapoor,False,KANGRA,,17th Lok Sabha,17.0,7.0,9.6263,8.6441,8.6441,6.8808,2.7455,0,0.5084764705882353,0,0.5084764705882353,0,0.2852082316154701,0,0.20398884788468435,0,0.496,9.9,Low,Compliant within operational parameters
Pratibha Singh,False,MANDI,,17th Lok Sabha,12.0,4.5,5.6005,5.2075,5.1718,3.1573,2.4432,0,0.43098333333333333,0,0.4339583333333333,0,0.4362467636818141,0,0.3895162225917475,0,0.57,11.4,Low,Compliant within operational parameters
